"Cook Islands","0","<70","-19.997 -157.7859","Cook Islands"
"Belarus","1","<70","53.744 27.947","Belarus"
"Norway","1","<70","60.5366 7.4496","Norway"
"Australia","2","<70","-23.079 132.842","Australia"
"Israel","2","<70","30.728 34.662","Israel"
"Poland","2","<70","52.1484 19.311","Poland"
"Croatia","3","<70","46.001 16.172","Croatia"
"Czechia","3","<70","49.836 15.5465","Czechia"
"Iceland","3","<70","65.0115 -18.968","Iceland"
"Japan","3","<70","36.8513 139.1112","Japan"
"Slovenia","3","<70","46.152 15.1315","Slovenia"
"Spain","3","<70","40.3544 -3.611","Spain"
"North Macedonia","3","<70","41.6059 21.6977","North Macedonia"
"United Arab Emirates","3","<70","23.3865 54.2485","United Arab Emirates"
"Belgium","4","<70","50.6522 4.5809","Belgium"
"Denmark","4","<70","56.2196 9.3108","Denmark"
"","","","",""
"Germany","4","<70","51.143 9.829","Germany"
"Ireland","4","<70","53.1805 -8.01","Ireland"
"Netherlands","4","<70","52.157 5.2035","Netherlands (Kingdom of the)"
"Qatar","4","<70","25.3217 51.1836","Qatar"
"Republic of Korea","4","<70","36.0655 127.7929","Republic of Korea"
"Slovakia","4","<70","48.7266 19.5075","Slovakia"
"Sweden","4","<70","58.581 14.246","Sweden"
"Estonia","5","<70","58.5425 26.5455","Estonia"
"Greece","5","<70","38.4414 22.1814","Greece"
"Monaco","5","<70","43.7399 7.3989","Monaco"
"Switzerland","5","<70","46.7919 8.1183","Switzerland"
"Turkmenistan","5","<70","39.4791 59.5154","Turkmenistan"
"Austria","6","<70","47.614 14.0762","Austria"
"Bosnia and Herzegovina","6","<70","44.1809 17.8168","Bosnia and Herzegovina"
"Bulgaria","6","<70","42.7345 23.8815","Bulgaria"
"Italy","6","<70","45.3889 10.7776","Italy"
"Montenegro","6","<70","42.7891 19.2862","Montenegro"
"Singapore","6","<70","1.3565 103.8215","Singapore"
"Albania","7","<70","41.1413 20.0325","Albania"
"France","7","<70","46.6113 2.3336","France"
"New Zealand","7","<70","-44.7201 169.9667","New Zealand"
"Saudi Arabia","7","<70","23.7603 45.0093","Saudi Arabia"
"Finland","8","<70","63.0704 27.7396","Finland"
"Kuwait","8","<70","29.3073 47.6003","Kuwait"
"Lithuania","8","<70","55.1395 23.822","Lithuania"
"Malta","8","<70","35.8975 14.4185","Malta"
"San Marino","8","<70","43.9365 12.4423","San Marino"
"United Kingdom","8","<70","52.4072 -1.7451","United Kingdom"
"Russian Federation","9","<70","63.4218 94.1005","Russian Federation"
"Chile","10","<70","-45.7382 -72.9381","Chile"
"Kazakhstan","10","<70","48.9437 67.6303","Kazakhstan"
"Andorra","11","<70","42.5413 1.5609","Andorra"
"Luxembourg","11","<70","49.7275 5.9585","Luxembourg"
"Puerto Rico (USA)","11","<70","18.234 -66.955","Puerto Rico"
"Serbia","11","<70","44.2085 20.7935","Serbia"
"Canada","12","<70","58.838 -120.439","Canada"
"Hungary","12","<70","47.192 20.498","Hungary"
"Romania","12","<70","45.857 24.9433","Romania"
"Oman","13","<70","22.019 57.368","Oman"
"Cyprus","14","<70","34.8725 33.131","Cyprus"
"Tajikistan","14","<70","38.3213 72.1918","Tajikistan"
"Lebanon","15","<70","33.9117 35.8708","Lebanon"
"Portugal","15","<70","38.7993 -8.3502","Portugal"
"Turkey","15","<70","39.3196 34.3321","The Republic of Türkiye"
